Team,2024
Houston,0.891
St Johns,0.895
Duke,0.907
UCSD,0.912
VCU,0.914
Maryland,0.924
UC Irvine,0.929
C Connecticut,0.932
Tennessee,0.932
Saint Marys,0.935
George Mason,0.935
Grand Canyon,0.935
New Mexico,0.937
Iowa St,0.945
Michigan St,0.948
San Diego St,0.949
Gonzaga,0.95
McNeese,0.952
Liberty,0.953
Florida,0.955
West Virginia,0.957
Troy,0.961
Southern,0.965
Merrimack,0.965
Drake,0.965
Little Rock,0.966
Clemson,0.966
Kansas,0.967
Utah Valley,0.968
Texas AM,0.968
Marist,0.969
UCLA,0.97
N Texas,0.971
Cincinnati,0.971
Saint Josephs,0.971
Arkansas St,0.973
Marquette,0.973
S Carolina St,0.975
SIU Edward,0.975
Louisville,0.975
Michigan,0.975
San Francisco,0.977
S Alabama,0.977
Wake Forest,0.977
G Washington,0.977
Seattle,0.978
Kent St,0.978
Hofstra,0.979
LIU,0.979
Texas Tech,0.979
App State,0.979
Lamar,0.981
Auburn,0.981
Colorado St,0.981
SE Missouri St,0.983
Boise St,0.983
Texas So,0.984
St Bonaventure,0.984
Georgia,0.984
Arkansas,0.984
Abl Christian,0.985
Lipscomb,0.986
Maine,0.986
Georgetown,0.986
Bryant,0.988
SF Austin,0.988
Loyola Chi,0.989
Cleveland St,0.989
Iona,0.991
Saint Peters,0.991
Memphis,0.992
Quinnipiac,0.993
SMU,0.993
Robert Morris,0.993
CS Northridge,0.994
Vermont,0.994
New Mexico St,0.994
TCU,0.996
Xavier,0.997
Dartmouth,0.998
Arizona,0.998
Wisconsin,0.999
Oregon,0.999
Mississippi,1
BYU,1
Creighton,1
Yale,1
Kansas St,1.001
Illinois,1.001
Florida St,1.002
W Kentucky,1.003
Mt St Marys,1.003
Cal Baptist,1.003
Northwestern,1.004
Wagner,1.004
E Tennessee St,1.004
Florida Intl,1.005
Santa Clara,1.005
Youngstown St,1.005
Portland St,1.006
Northeastern,1.008
NC Greensboro,1.008
Penn St,1.009
Duquesne,1.009
UNLV,1.01
Louisiana Tech,1.011
UConn,1.011
E Illinois,1.011
Indiana,1.012
Drexel,1.013
Nicholls,1.013
N Iowa,1.013
Tennessee St,1.013
Georgia Tech,1.013
Utah,1.014
Kennesaw St,1.014
UC Davis,1.014
Bethune,1.014
Texas AM-CC,1.015
Jacksonville,1.015
Bradley,1.015
Marshall,1.015
UCSB,1.015
Colorado,1.015
Milwaukee,1.016
Bucknell,1.016
Alabama St,1.017
Charleston,1.017
LSU,1.017
Akron,1.017
Middle Tenn,1.018
Tulane,1.018
Utah St,1.018
Lindenwood,1.018
Wichita St,1.019
Nebraska,1.02
Towson,1.02
Nevada,1.02
UTEP,1.02
SE Louisiana,1.02
Miami OH,1.02
NC Wilmington,1.02
Grambling,1.021
Baylor,1.021
Norfolk St,1.021
Tarleton St,1.021
High Point,1.022
Murray St,1.024
Ohio St,1.024
North Carolina,1.025
Campbell,1.025
UMass,1.025
Pittsburgh,1.025
N Alabama,1.025
Lafayette,1.025
Texas,1.026
Jacksonville St,1.026
Rhode Island,1.027
Brown,1.027
Rice,1.028
Stanford,1.028
Mississippi St,1.028
Jackson St,1.029
Missouri,1.03
Boston U,1.03
Dayton,1.031
Siena,1.031
Oregon St,1.033
Alabama,1.033
Loyola Mymt,1.033
South Carolina,1.035
Villanova,1.035
Vanderbilt,1.037
NW State,1.037
Montana St,1.037
Furman,1.037
Southern Miss,1.037
Saint Louis,1.038
Minnesota,1.038
Georgia So,1.039
Samford,1.04
Winthrop,1.04
Oklahoma St,1.04
S Florida,1.04
FGCU,1.04
Navy,1.041
Mercer,1.041
N Kentucky,1.042
UT Martin,1.042
F Dickinson,1.042
Evansville,1.043
Hampton,1.043
Sacred Heart,1.044
American,1.044
Morehead St,1.045
Hawaii,1.045
Tenn Tech,1.045
NC State,1.045
Princeton,1.045
Ohio,1.046
Kentucky,1.046
Kansas City,1.046
Elon,1.047
Seton Hall,1.047
Bowling Green,1.048
S Utah,1.048
Oklahoma,1.049
Harvard,1.049
Purdue,1.049
Illinois Chicago,1.05
Lehigh,1.05
S Dakota St,1.051
C Michigan,1.052
Arizona St,1.053
Hou Christian,1.053
Notre Dame,1.053
Wyoming,1.053
Providence,1.053
Tulsa,1.053
N Colorado,1.053
Purdue FW,1.053
La Salle,1.053
Chattanooga,1.053
E Carolina,1.054
DePaul,1.054
Idaho St,1.055
Florida Atlantic,1.055
Incarnate Word,1.055
J Madison,1.055
Loyola MD,1.056
UCF,1.056
Albany,1.056
UT Rio Grande,1.057
Queens,1.057
Davidson,1.057
Missouri St,1.059
Stonehill,1.059
UAB,1.059
Wofford,1.059
Binghamton,1.059
Old Dominion,1.06
Texas St,1.06
Manhattan,1.06
N Arizona,1.06
Virginia,1.061
St Francis PA,1.061
Longwood,1.062
Colgate,1.063
San Jose St,1.063
S Indiana,1.063
Temple,1.064
Washington St,1.064
Alabama AM,1.065
USC,1.065
UT Arlington,1.065
Alcorn St,1.065
Delaware St,1.065
Rutgers,1.067
Oakland,1.067
Louisiana,1.068
Belmont,1.068
Virginia Tech,1.068
St Thomas,1.069
Cornell,1.069
California,1.069
Butler,1.07
Valparaiso,1.07
Niagara,1.07
UMass Lowell,1.07
UC Riverside,1.071
Presbyterian,1.072
E Texas AM,1.072
Ball St,1.073
Radford,1.073
E Kentucky,1.074
NJIT,1.074
Omaha,1.075
S Illinois,1.075
Rider,1.075
Illinois St,1.076
Cal Poly,1.076
Boston College,1.078
Fairfield,1.078
Montana,1.078
Fordham,1.079
UTSA,1.079
Washington,1.079
Mercyhurst,1.08
Monmouth,1.081
VMI,1.082
CS Bakersfield,1.082
Syracuse,1.083
Richmond,1.084
Army,1.085
NC AT,1.085
W Michigan,1.086
Florida AM,1.086
Fresno St,1.086
Coppin St,1.086
Gardner-Webb,1.087
Detroit Mercy,1.087
Pepperdine,1.087
William Mary,1.088
W Illinois,1.089
Utah Tech,1.089
Sam Houston,1.089
San Diego,1.089
Holy Cross,1.09
Austin Peay,1.091
N Illinois,1.092
Coastal Car,1.093
W Carolina,1.093
Indiana St,1.094
Iowa,1.094
NC Asheville,1.095
Sacramento St,1.096
Charleston So,1.096
New Hampshire,1.097
Denver,1.098
E Michigan,1.098
Delaware,1.098
Weber St,1.098
Georgia St,1.098
UMBC,1.099
UL Monroe,1.099
NC Central,1.101
Charlotte,1.101
E Washington,1.101
Long Beach St,1.102
Wright St,1.102
N Dakota St,1.104
Pacific,1.104
Chicago St,1.105
Buffalo,1.106
Columbia,1.107
Air Force,1.107
Howard,1.109
Penn,1.109
Morgan St,1.111
C Arkansas,1.113
Idaho,1.117
CS Fullerton,1.118
W Georgia,1.119
South Dakota,1.125
Prairie View,1.129
Portland,1.13
Stony Brook,1.132
The Citadel,1.134
Le Moyne,1.139
Toledo,1.139
SC Upstate,1.14
N Florida,1.14
Green Bay,1.141
New Orleans,1.141
North Dakota,1.146
Stetson,1.15
Maryland ES,1.153
AR-Pine Bluff,1.157
Miami,1.159
Canisius,1.163
Oral Roberts,1.169
IU Indy,1.178
Bellarmine,1.18
Miss Valley St,1.214